gridclstid,nsrdb_id,cluster_id,nsrdb_lat,nsrdb_lon,solar_lat,solar_lon,solar_covg,solar_area
1,20,1,21.49,-158.26,,,0.0000000000000,0.000
2,31,9,21.57,-158.22,21.57693,-158.20476,0.1331577868529,829500.011
3,32,9,21.53,-158.22,,,0.0000000000000,0.000
4,32,1,21.53,-158.22,21.51225,-158.22512,0.0986385020407,311120.646
5,33,1,21.49,-158.22,21.49399,-158.22119,0.0832952415779,1433004.653
6,34,1,21.45,-158.22,21.46502,-158.20388,0.1083232528193,545753.492
7,44,9,21.57,-158.18,21.57093,-158.18091,0.2990219769039,4620086.301
8,45,9,21.53,-158.18,21.54758,-158.18402,0.0011549800918,11202.608
9,45,1,21.53,-158.18,,,0.0000000000000,0.000
10,46,1,21.49,-158.18,21.47745,-158.17280,0.0272365826475,499708.033
11,47,1,21.45,-158.18,21.45889,-158.17710,0.3303815028902,4215335.352
12,47,2,21.45,-158.18,21.44035,-158.16578,0.1464629872974,789123.053
13,48,2,21.41,-158.18,21.41654,-158.16653,0.1667375315500,1812519.932
14,49,2,21.37,-158.18,,,0.0000000000000,0.000
15,57,10,21.57,-158.14,21.57709,-158.12008,0.0804828973843,3917.116
16,57,9,21.57,-158.14,21.56710,-158.14444,0.2286157879793,3718235.605
17,58,9,21.53,-158.14,21.54741,-158.13530,0.0175450523179,304396.850
18,58,1,21.53,-158.14,,,0.0000000000000,0.000
19,59,9,21.49,-158.14,,,0.0000000000000,0.000
20,59,1,21.49,-158.14,21.47437,-158.15573,0.0921051128901,793041.347
21,59,2,21.49,-158.14,,,0.0000000000000,0.000
22,60,1,21.45,-158.14,21.46520,-158.15570,0.2843584595729,459636.666
23,60,2,21.45,-158.14,21.44806,-158.15320,0.0993789184838,1663157.343
24,61,2,21.41,-158.14,21.40480,-158.14798,0.1825092615778,2796210.314
25,61,3,21.41,-158.14,21.39593,-158.12364,0.2046772260551,621496.343
26,62,2,21.37,-158.14,21.38908,-158.14736,0.0591728377812,83313.588
27,62,3,21.37,-158.14,21.37890,-158.13118,0.0394032929730,503596.974
28,63,3,21.33,-158.14,21.34681,-158.12519,0.0253110389096,157111.707
29,64,3,21.29,-158.14,,,0.0000000000000,0.000
30,69,10,21.61,-158.10,21.59056,-158.09127,0.1447223749313,103470.387
31,69,11,21.61,-158.10,21.60573,-158.09311,0.3003726377429,2216637.029
32,70,10,21.57,-158.10,21.57172,-158.10184,0.1418003122339,2355962.544
33,70,9,21.57,-158.10,21.55478,-158.11544,0.1897771952818,284766.243
34,70,11,21.57,-158.10,,,0.0000000000000,0.000
35,71,10,21.53,-158.10,21.53860,-158.08702,0.2998533900546,1225931.032
36,71,9,21.53,-158.10,21.53693,-158.09866,0.0487324566038,498804.797
37,72,2,21.49,-158.10,,,0.0000000000000,0.000
38,72,8,21.49,-158.10,21.47822,-158.08446,0.2326483034741,902519.794
39,73,2,21.45,-158.10,21.45293,-158.08241,0.0000000000000,0.000
40,73,8,21.45,-158.10,21.46801,-158.08826,0.0051685005181,41195.754
41,74,2,21.41,-158.10,21.41998,-158.07767,0.0000000000000,0.000
42,74,3,21.41,-158.10,21.40051,-158.11709,0.0483685473006,289667.469
43,74,8,21.41,-158.10,21.39708,-158.08229,0.0038861743335,30192.169
44,75,3,21.37,-158.10,21.37158,-158.11044,0.0410603199289,581940.410
45,75,4,21.37,-158.10,21.35362,-158.07609,0.0000000000000,0.000
46,75,8,21.37,-158.10,21.37920,-158.08304,0.0298897962420,74156.248
47,76,3,21.33,-158.10,21.33966,-158.10844,0.0103743846619,94581.573
48,76,4,21.33,-158.10,21.33815,-158.08584,0.0316729083326,292985.696
49,77,3,21.29,-158.10,,,0.0000000000000,0.000
50,77,4,21.29,-158.10,,,0.0000000000000,0.000
51,80,12,21.69,-158.06,21.67099,-158.04147,0.0550139866068,63677.337
52,81,11,21.65,-158.06,21.63241,-158.06058,0.1303225241784,292356.796
53,81,12,21.65,-158.06,21.65251,-158.04920,0.2104514594931,1859917.786
54,82,11,21.61,-158.06,21.61054,-158.05637,0.3285193305286,5990918.431
55,83,10,21.57,-158.06,21.56208,-158.05580,0.2357264158200,3914426.907
56,83,11,21.57,-158.06,21.58904,-158.04492,0.0608295976848,105374.966
