I,J,LAT,LON
5,5,20.8756,-158.5944
6,5,20.8756,-158.5848
7,5,20.8756,-158.5752
8,5,20.8756,-158.5656
9,5,20.8756,-158.556
10,5,20.8756,-158.5464
11,5,20.8756,-158.5368
12,5,20.8756,-158.5272
13,5,20.8756,-158.5176
14,5,20.8756,-158.508
15,5,20.8756,-158.4984
16,5,20.8756,-158.4888
17,5,20.8756,-158.4792
18,5,20.8756,-158.4695
19,5,20.8756,-158.4599
20,5,20.8756,-158.4503
21,5,20.8756,-158.4407
22,5,20.8756,-158.4311
23,5,20.8756,-158.4215
24,5,20.8756,-158.4119
25,5,20.8756,-158.4023
26,5,20.8756,-158.3927
27,5,20.8756,-158.3831
28,5,20.8756,-158.3735
29,5,20.8756,-158.3639
30,5,20.8756,-158.3543
31,5,20.8756,-158.3447
32,5,20.8756,-158.3351
33,5,20.8756,-158.3254
34,5,20.8756,-158.3158
35,5,20.8756,-158.3062
36,5,20.8756,-158.2966
37,5,20.8756,-158.287
38,5,20.8756,-158.2774
39,5,20.8756,-158.2678
40,5,20.8756,-158.2582
41,5,20.8756,-158.2486
42,5,20.8756,-158.239
43,5,20.8756,-158.2294
44,5,20.8756,-158.2198
45,5,20.8756,-158.2102
46,5,20.8756,-158.2006
47,5,20.8756,-158.1909
48,5,20.8756,-158.1814
49,5,20.8756,-158.1717
50,5,20.8756,-158.1621
51,5,20.8756,-158.1525
52,5,20.8756,-158.1429
53,5,20.8756,-158.1333
54,5,20.8756,-158.1237
55,5,20.8756,-158.1141
56,5,20.8756,-158.1045
57,5,20.8756,-158.0949
58,5,20.8756,-158.0853
59,5,20.8756,-158.0757
60,5,20.8756,-158.0661
61,5,20.8756,-158.0565
62,5,20.8756,-158.0469
63,5,20.8756,-158.0372
64,5,20.8756,-158.0276
65,5,20.8756,-158.018
66,5,20.8756,-158.0084
67,5,20.8756,-157.9988
68,5,20.8756,-157.9892
69,5,20.8756,-157.9796
70,5,20.8756,-157.97
71,5,20.8756,-157.9604
72,5,20.8756,-157.9508
73,5,20.8756,-157.9412
74,5,20.8756,-157.9316
75,5,20.8756,-157.922
76,5,20.8756,-157.9124
77,5,20.8756,-157.9028
78,5,20.8756,-157.8931
79,5,20.8756,-157.8835
80,5,20.8756,-157.8739
81,5,20.8756,-157.8643
82,5,20.8756,-157.8547
83,5,20.8756,-157.8451
84,5,20.8756,-157.8355
85,5,20.8756,-157.8259
86,5,20.8756,-157.8163
87,5,20.8756,-157.8067
