I,J,LAT,LON
5,5,20.1932,-157.6299
6,5,20.1932,-157.6203
7,5,20.1932,-157.6107
8,5,20.1932,-157.601
9,5,20.1932,-157.5914
10,5,20.1932,-157.5818
11,5,20.1932,-157.5722
12,5,20.1932,-157.5626
13,5,20.1932,-157.553
14,5,20.1932,-157.5434
15,5,20.1932,-157.5338
16,5,20.1932,-157.5242
17,5,20.1932,-157.5146
18,5,20.1932,-157.505
19,5,20.1932,-157.4954
20,5,20.1932,-157.4858
21,5,20.1932,-157.4762
22,5,20.1932,-157.4666
23,5,20.1932,-157.4569
24,5,20.1932,-157.4473
25,5,20.1932,-157.4377
26,5,20.1932,-157.4281
27,5,20.1932,-157.4185
28,5,20.1932,-157.4089
29,5,20.1932,-157.3993
30,5,20.1932,-157.3897
31,5,20.1932,-157.3801
32,5,20.1932,-157.3705
33,5,20.1932,-157.3609
34,5,20.1932,-157.3513
35,5,20.1932,-157.3417
36,5,20.1932,-157.3321
37,5,20.1932,-157.3224
38,5,20.1932,-157.3129
39,5,20.1932,-157.3032
40,5,20.1932,-157.2936
41,5,20.1932,-157.284
42,5,20.1932,-157.2744
43,5,20.1932,-157.2648
44,5,20.1932,-157.2552
45,5,20.1932,-157.2456
46,5,20.1932,-157.236
47,5,20.1932,-157.2264
48,5,20.1932,-157.2168
49,5,20.1932,-157.2072
50,5,20.1932,-157.1976
51,5,20.1932,-157.188
52,5,20.1932,-157.1784
53,5,20.1932,-157.1687
54,5,20.1932,-157.1591
55,5,20.1932,-157.1495
56,5,20.1932,-157.1399
57,5,20.1932,-157.1303
58,5,20.1932,-157.1207
59,5,20.1932,-157.1111
60,5,20.1932,-157.1015
61,5,20.1932,-157.0919
62,5,20.1932,-157.0823
63,5,20.1932,-157.0727
64,5,20.1932,-157.0631
65,5,20.1932,-157.0535
66,5,20.1932,-157.0439
67,5,20.1932,-157.0343
68,5,20.1932,-157.0246
69,5,20.1932,-157.015
70,5,20.1932,-157.0054
71,5,20.1932,-156.9958
72,5,20.1932,-156.9862
73,5,20.1932,-156.9766
74,5,20.1932,-156.967
75,5,20.1932,-156.9574
76,5,20.1932,-156.9478
77,5,20.1932,-156.9382
78,5,20.1932,-156.9286
79,5,20.1932,-156.919
80,5,20.1932,-156.9094
81,5,20.1932,-156.8998
82,5,20.1932,-156.8902
83,5,20.1932,-156.8806
84,5,20.1932,-156.8709
85,5,20.1932,-156.8613
86,5,20.1932,-156.8517
87,5,20.1932,-156.8421
88,5,20.1932,-156.8325
89,5,20.1932,-156.8229
90,5,20.1932,-156.8133
91,5,20.1932,-156.8037
92,5,20.1932,-156.7941
93,5,20.1932,-156.7845
94,5,20.1932,-156.7749
95,5,20.1932,-156.7653
96,5,20.1932,-156.7557
97,5,20.1932,-156.7461
98,5,20.1932,-156.7365
99,5,20.1932,-156.7269
100,5,20.1932,-156.7172
101,5,20.1932,-156.7076
102,5,20.1932,-156.698
103,5,20.1932,-156.6884
104,5,20.1932,-156.6788
105,5,20.1932,-156.6692
106,5,20.1932,-156.6596
107,5,20.1932,-156.65
108,5,20.1932,-156.6404
109,5,20.1932,-156.6308
110,5,20.1932,-156.6212
111,5,20.1932,-156.6116
112,5,20.1932,-156.602
113,5,20.1932,-156.5924
114,5,20.1932,-156.5827
115,5,20.1932,-156.5731
116,5,20.1932,-156.5635
117,5,20.1932,-156.5539
118,5,20.1932,-156.5443
119,5,20.1932,-156.5347
120,5,20.1932,-156.5251
121,5,20.1932,-156.5155
122,5,20.1932,-156.5059
123,5,20.1932,-156.4963
124,5,20.1932,-156.4867
125,5,20.1932,-156.4771
126,5,20.1932,-156.4675
127,5,20.1932,-156.4579
128,5,20.1932,-156.4483
129,5,20.1932,-156.4386
130,5,20.1932,-156.429
131,5,20.1932,-156.4194
132,5,20.1932,-156.4098
133,5,20.1932,-156.4002
