I,J,LAT,LON
5,5,18.595,-156.3862
6,5,18.595,-156.3766
7,5,18.595,-156.367
8,5,18.595,-156.3574
9,5,18.595,-156.3478
10,5,18.595,-156.3382
11,5,18.595,-156.3286
12,5,18.595,-156.319
13,5,18.595,-156.3094
14,5,18.595,-156.2998
15,5,18.595,-156.2902
16,5,18.595,-156.2806
17,5,18.595,-156.271
18,5,18.595,-156.2614
19,5,18.595,-156.2518
20,5,18.595,-156.2422
21,5,18.595,-156.2325
22,5,18.595,-156.2229
23,5,18.595,-156.2133
24,5,18.595,-156.2037
25,5,18.595,-156.1941
26,5,18.595,-156.1845
27,5,18.595,-156.1749
28,5,18.595,-156.1653
29,5,18.595,-156.1557
30,5,18.595,-156.1461
31,5,18.595,-156.1365
32,5,18.595,-156.1269
33,5,18.595,-156.1173
34,5,18.595,-156.1077
35,5,18.595,-156.0981
36,5,18.595,-156.0884
37,5,18.595,-156.0788
38,5,18.595,-156.0692
39,5,18.595,-156.0596
40,5,18.595,-156.05
41,5,18.595,-156.0404
42,5,18.595,-156.0308
43,5,18.595,-156.0212
44,5,18.595,-156.0116
45,5,18.595,-156.002
46,5,18.595,-155.9924
47,5,18.595,-155.9828
48,5,18.595,-155.9732
49,5,18.595,-155.9636
50,5,18.595,-155.9539
51,5,18.595,-155.9444
52,5,18.595,-155.9347
53,5,18.595,-155.9251
54,5,18.595,-155.9155
55,5,18.595,-155.9059
56,5,18.595,-155.8963
57,5,18.595,-155.8867
58,5,18.595,-155.8771
59,5,18.595,-155.8675
60,5,18.595,-155.8579
61,5,18.595,-155.8483
62,5,18.595,-155.8387
63,5,18.595,-155.8291
64,5,18.595,-155.8195
65,5,18.595,-155.8099
66,5,18.595,-155.8002
67,5,18.595,-155.7906
68,5,18.595,-155.781
69,5,18.595,-155.7714
70,5,18.595,-155.7618
71,5,18.595,-155.7522
72,5,18.595,-155.7426
73,5,18.595,-155.733
74,5,18.595,-155.7234
75,5,18.595,-155.7138
76,5,18.595,-155.7042
77,5,18.595,-155.6946
78,5,18.595,-155.685
79,5,18.595,-155.6754
80,5,18.595,-155.6658
81,5,18.595,-155.6561
82,5,18.595,-155.6465
83,5,18.595,-155.6369
84,5,18.595,-155.6273
85,5,18.595,-155.6177
86,5,18.595,-155.6081
87,5,18.595,-155.5985
88,5,18.595,-155.5889
89,5,18.595,-155.5793
90,5,18.595,-155.5697
91,5,18.595,-155.5601
92,5,18.595,-155.5505
93,5,18.595,-155.5409
94,5,18.595,-155.5313
95,5,18.595,-155.5217
96,5,18.595,-155.5121
97,5,18.595,-155.5024
98,5,18.595,-155.4928
99,5,18.595,-155.4832
100,5,18.595,-155.4736
101,5,18.595,-155.464
102,5,18.595,-155.4544
103,5,18.595,-155.4448
104,5,18.595,-155.4352
105,5,18.595,-155.4256
106,5,18.595,-155.416
107,5,18.595,-155.4064
108,5,18.595,-155.3968
109,5,18.595,-155.3872
110,5,18.595,-155.3776
111,5,18.595,-155.368
112,5,18.595,-155.3584
113,5,18.595,-155.3487
114,5,18.595,-155.3391
115,5,18.595,-155.3295
116,5,18.595,-155.3199
117,5,18.595,-155.3103
118,5,18.595,-155.3007
119,5,18.595,-155.2911
120,5,18.595,-155.2815
121,5,18.595,-155.2719
122,5,18.595,-155.2623
123,5,18.595,-155.2527
124,5,18.595,-155.2431
125,5,18.595,-155.2335
126,5,18.595,-155.2239
127,5,18.595,-155.2142
128,5,18.595,-155.2046
129,5,18.595,-155.195
130,5,18.595,-155.1854
131,5,18.595,-155.1758
132,5,18.595,-155.1662
133,5,18.595,-155.1566
134,5,18.595,-155.147
135,5,18.595,-155.1374
136,5,18.595,-155.1278
137,5,18.595,-155.1182
138,5,18.595,-155.1086
139,5,18.595,-155.099
140,5,18.595,-155.0894
141,5,18.595,-155.0798
142,5,18.595,-155.0701
143,5,18.595,-155.0605
144,5,18.595,-155.0509
145,5,18.595,-155.0413
146,5,18.595,-155.0317
147,5,18.595,-155.0221
148,5,18.595,-155.0125
149,5,18.595,-155.0029
150,5,18.595,-154.9933
151,5,18.595,-154.9837
152,5,18.595,-154.9741
153,5,18.595,-154.9645
154,5,18.595,-154.9549
155,5,18.595,-154.9453
156,5,18.595,-154.9357
157,5,18.595,-154.9261
158,5,18.595,-154.9164
159,5,18.595,-154.9068
160,5,18.595,-154.8972
161,5,18.595,-154.8876
162,5,18.595,-154.878
163,5,18.595,-154.8684
164,5,18.595,-154.8588
165,5,18.595,-154.8492
166,5,18.595,-154.8396
167,5,18.595,-154.83
168,5,18.595,-154.8204
169,5,18.595,-154.8108
170,5,18.595,-154.8012
171,5,18.595,-154.7916
172,5,18.595,-154.782
173,5,18.595,-154.7723
174,5,18.595,-154.7627
175,5,18.595,-154.7531
176,5,18.595,-154.7435
177,5,18.595,-154.7339
178,5,18.595,-154.7243
179,5,18.595,-154.7147
180,5,18.595,-154.7051
181,5,18.595,-154.6955
182,5,18.595,-154.6859
183,5,18.595,-154.6763
184,5,18.595,-154.6667
185,5,18.595,-154.6571
186,5,18.595,-154.6475
187,5,18.595,-154.6378
188,5,18.595,-154.6283
189,5,18.595,-154.6186
190,5,18.595,-154.609
191,5,18.595,-154.5994
192,5,18.595,-154.5898
193,5,18.595,-154.5802
194,5,18.595,-154.5706
195,5,18.595,-154.561
196,5,18.595,-154.5514
197,5,18.595,-154.5418
198,5,18.595,-154.5322
199,5,18.595,-154.5226
200,5,18.595,-154.513
201,5,18.595,-154.5034
202,5,18.595,-154.4938
5,6,18.6041,-156.3862
6,6,18.6041,-156.3766
7,6,18.6041,-156.367
8,6,18.6041,-156.3574
9,6,18.6041,-156.3478
10,6,18.6041,-156.3382
11,6,18.6041,-156.3286
12,6,18.6041,-156.319
13,6,18.6041,-156.3094
14,6,18.6041,-156.2998
15,6,18.6041,-156.2902
16,6,18.6041,-156.2806
17,6,18.6041,-156.271
18,6,18.6041,-156.2614
19,6,18.6041,-156.2518
20,6,18.6041,-156.2422
21,6,18.6041,-156.2325
22,6,18.6041,-156.2229
23,6,18.6041,-156.2133
24,6,18.6041,-156.2037
25,6,18.6041,-156.1941
26,6,18.6041,-156.1845
27,6,18.6041,-156.1749
28,6,18.6041,-156.1653
29,6,18.6041,-156.1557
30,6,18.6041,-156.1461
31,6,18.6041,-156.1365
32,6,18.6041,-156.1269
33,6,18.6041,-156.1173
34,6,18.6041,-156.1077
35,6,18.6041,-156.0981
36,6,18.6041,-156.0884
37,6,18.6041,-156.0788
38,6,18.6041,-156.0692
39,6,18.6041,-156.0596
40,6,18.6041,-156.05
41,6,18.6041,-156.0404
42,6,18.6041,-156.0308
43,6,18.6041,-156.0212
44,6,18.6041,-156.0116
45,6,18.6041,-156.002
46,6,18.6041,-155.9924
47,6,18.6041,-155.9828
48,6,18.6041,-155.9732
49,6,18.6041,-155.9636
50,6,18.6041,-155.9539
51,6,18.6041,-155.9444
52,6,18.6041,-155.9347
53,6,18.6041,-155.9251
54,6,18.6041,-155.9155
55,6,18.6041,-155.9059
56,6,18.6041,-155.8963
57,6,18.6041,-155.8867
58,6,18.6041,-155.8771
59,6,18.6041,-155.8675
60,6,18.6041,-155.8579
61,6,18.6041,-155.8483
62,6,18.6041,-155.8387
63,6,18.6041,-155.8291
64,6,18.6041,-155.8195
65,6,18.6041,-155.8099
66,6,18.6041,-155.8002
67,6,18.6041,-155.7906
68,6,18.6041,-155.781
69,6,18.6041,-155.7714
70,6,18.6041,-155.7618
71,6,18.6041,-155.7522
72,6,18.6041,-155.7426
73,6,18.6041,-155.733
74,6,18.6041,-155.7234
75,6,18.6041,-155.7138
76,6,18.6041,-155.7042
77,6,18.6041,-155.6946
78,6,18.6041,-155.685
79,6,18.6041,-155.6754
80,6,18.6041,-155.6658
81,6,18.6041,-155.6561
82,6,18.6041,-155.6465
83,6,18.6041,-155.6369
84,6,18.6041,-155.6273
85,6,18.6041,-155.6177
86,6,18.6041,-155.6081
87,6,18.6041,-155.5985
88,6,18.6041,-155.5889
89,6,18.6041,-155.5793
90,6,18.6041,-155.5697
91,6,18.6041,-155.5601
92,6,18.6041,-155.5505
93,6,18.6041,-155.5409
94,6,18.6041,-155.5313
95,6,18.6041,-155.5217
96,6,18.6041,-155.5121
97,6,18.6041,-155.5024
98,6,18.6041,-155.4928
99,6,18.6041,-155.4832
100,6,18.6041,-155.4736
101,6,18.6041,-155.464
102,6,18.6041,-155.4544
103,6,18.6041,-155.4448
104,6,18.6041,-155.4352
105,6,18.6041,-155.4256
106,6,18.6041,-155.416
107,6,18.6041,-155.4064
108,6,18.6041,-155.3968
109,6,18.6041,-155.3872
110,6,18.6041,-155.3776
111,6,18.6041,-155.368
112,6,18.6041,-155.3584
113,6,18.6041,-155.3487
114,6,18.6041,-155.3391
115,6,18.6041,-155.3295
116,6,18.6041,-155.3199
117,6,18.6041,-155.3103
118,6,18.6041,-155.3007
119,6,18.6041,-155.2911
120,6,18.6041,-155.2815
121,6,18.6041,-155.2719
122,6,18.6041,-155.2623
