turbine_id,cluster_id,lat,lon,speed_ratio,avg_s80,turb_model,turb_class_type
514,101,21.51607963,-158.2277417,0.85887,4.77704850137336,C99 ,4
537,101,21.50524563,-158.2293436,1.03379,4.64596147352649,C99 ,4
538,101,21.5052188,-158.2235512,0.92746,4.70795880710962,C99 ,4
544,101,21.49982639,-158.2296617,0.97347,4.37487693214632,C99 ,4
550,101,21.49440181,-158.2288215,0.98119,4.30092563694517,C99 ,4
555,101,21.48898345,-158.2293327,0.92842,4.3324269292595,C99 ,4
573,101,21.48356109,-158.2289751,0.90483,4.22234520610172,C99 ,4
582,101,21.48008551,-158.2198235,0.94977,4.95685783266848,C99 ,4
556,102,21.48795811,-158.0802005,1.00641,5.50021977966666,C99 ,4
558,102,21.48764762,-158.0730594,0.99533,5.4396653514121,C99 ,4
561,102,21.48635065,-158.067276,1.01243,5.37032698477057,C99 ,4
568,102,21.48415009,-158.0614985,1.00131,5.31134233055352,C99 ,4
569,102,21.48368803,-158.0126603,0.95886,5.57959724409439,C99 ,4
574,102,21.48225874,-158.0787884,1.01531,5.54886020723402,C99 ,4
576,102,21.48096197,-158.0730052,1.01282,5.53525164924694,C99 ,4
577,102,21.48040564,-158.0229137,1.01272,5.59194338285673,C99 ,4
580,102,21.47950691,-158.0551579,0.97641,5.03414706680609,C99 ,4
586,102,21.47876161,-158.0672278,0.98736,5.28070685840596,C99 ,4
587,102,21.4787292,-158.0614368,0.98405,5.26300382442565,C99 ,4
594,102,21.47555443,-158.0753559,0.98212,5.53792062590499,C99 ,4
595,102,21.47500225,-158.0258453,1.01267,5.48918668813137,C99 ,4
600,102,21.47423167,-158.0489182,1.00812,5.18534580293093,C99 ,4
601,102,21.47408929,-158.0556754,1.01222,5.21877553256639,C99 ,4
604,102,21.47335416,-158.0695787,1.01151,5.40986860644054,C99 ,4
605,102,21.47332129,-158.0636913,1.00107,5.35403229997099,C99 ,4
618,102,21.46950102,-158.043158,0.99072,5.11752834059281,C99 ,4
620,102,21.46881682,-158.0499185,1.01143,5.22450536350532,C99 ,4
621,102,21.46868146,-158.0579301,0.9966,5.08126395330261,C99 ,4
625,102,21.46794719,-158.0720259,0.93171,5.36198470335177,C99 ,4
626,102,21.46791496,-158.0662352,1.00291,5.2741650059578,C99 ,4
641,102,21.46477017,-158.0373982,1.00694,5.25757084102733,C99 ,4
642,102,21.46406119,-158.0241809,0.98896,5.19742096977872,C99 ,4
643,102,21.4640862,-158.0441585,0.9969,5.14945115512547,C99 ,4
644,102,21.46375629,-158.0183923,0.99124,5.40459668262859,C99 ,4
646,102,21.46340908,-158.0521733,0.97079,4.94966939093381,C99 ,4
647,102,21.46327522,-158.0604741,1.00651,5.13179131395473,C99 ,4
652,102,21.46251019,-158.0690685,0.97136,5.10824797399312,C99 ,4
654,102,21.46184591,-158.0316268,1.00981,5.21481864582076,C99 ,4
663,102,21.4593554,-158.0383989,0.99734,5.15968996983631,C99 ,4
665,102,21.45867358,-158.0455449,0.99476,5.12649087144875,C99 ,4
667,102,21.45799092,-158.0525944,0.97601,4.8905993629641,C99 ,4
668,102,21.45787056,-158.0633075,0.99374,5.02974719128997,C99 ,4
674,102,21.45709143,-158.0693924,1.00461,5.08476454899483,C99 ,4
684,102,21.45394283,-158.0397854,1.00615,5.20526798966995,C99 ,4
688,102,21.45326039,-158.0468347,0.98178,5.06306061429187,C99 ,4
689,102,21.45318679,-158.0340001,0.98198,5.04411572592764,C99 ,4
692,102,21.45258311,-158.0548489,0.99302,5.03733893048496,C99 ,4
693,102,21.45245181,-158.0636316,0.95763,4.78631640103766,C99 ,4
697,102,21.45158393,-158.0700064,1.03874,5.19171140981414,C99 ,4
704,102,21.44852969,-158.0410754,0.97902,5.02891102527399,C99 ,4
709,102,21.44785267,-158.0490893,1.03293,5.32684238867327,C99 ,4
710,102,21.4477737,-158.0352903,1.01697,5.22384817234924,C99 ,4
712,102,21.44717962,-158.0578752,0.98835,5.01364908102225,C99 ,4
713,102,21.44703467,-158.0642452,1.00263,5.01123032433172,C99 ,4
715,102,21.44618174,-158.0733216,0.93823,5.25966169471766,C99 ,4
716,102,21.44556146,-158.0276814,1.00855,5.22804515449117,C99 ,4
722,102,21.443111,-158.0414003,0.96453,4.96235305078012,C99 ,4
730,102,21.44244929,-158.0521158,0.98787,5.12535735258618,C99 ,4
731,102,21.44235504,-158.0356154,1.01711,5.23286876483828,C99 ,4
734,102,21.4416326,-158.0675606,1.0065,5.09259954716788,C99 ,4
735,102,21.44159592,-158.060999,1.01641,5.27343126702196,C99 ,4
738,102,21.44058067,-158.073357,0.96659,5.40174742682756,C99 ,4
739,102,21.44014562,-158.0284893,1.00604,5.24231983540173,C99 ,4
